chr	start	end	cg_sites	chg_sites	chh_sites	CG	CHG	CHH	domain_tmp	CHG_based_domain	domain	domain_simple
maize_chr1_reference	1	100	y	y	y	0.741935483870968	0.790697674418605	0.00555555555555556	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	101	200	y	y	y	0.742857142857143	0.571428571428571	0.0305676855895196	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	201	300	y	y	y	0.736842105263158	0.647887323943662	0.0126353790613718	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	301	400	y	y	y	0.794117647058823	0.775147928994083	0.0148305084745763	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	401	500	y	y	y	0.82051282051282	0.386363636363636	0.0140105078809107	CG_only	Intermediate	CG_only	other_mC
maize_chr1_reference	501	600	y	y	y	0.781818181818182	0.743801652892562	0.0185758513931889	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	601	700	y	y	y	0.838235294117647	0.505050505050505	0.0111607142857143	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	701	800	y	y	y	0.75	0.740963855421687	0.021551724137931	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	801	900	y	y	y	0.770992366412214	0.656565656565657	0.0263157894736842	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	901	1000	y	y	y	0.650793650793651	0.571428571428571	0.030690537084399	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	1001	1100	y	y	y	0.684210526315789	0.528571428571429	0.036745406824147	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	1101	1200	y	y	y	0.674698795180723	0.521472392638037	0.0289532293986637	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	1201	1300	y	y	y	0.682730923694779	0.529411764705882	0.0392156862745098	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	1301	1400	y	y	y	0.819444444444444	0.73394495412844	0.0575079872204473	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	1401	1500	y	y	y	0.878453038674033	0.636363636363636	0.0245901639344262	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	1501	1600	y	n	y	0.783216783216783	NA	0.0251256281407035	CG_only	no_sites	CG_only	other_mC
maize_chr1_reference	1601	1700	y	y	y	0.695121951219512	0.282608695652174	0.0120772946859903	CG_only	Intermediate	CG_only	other_mC
maize_chr1_reference	1701	1800	y	y	y	0.715909090909091	0.466666666666667	0.0277777777777778	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	1801	1900	y	y	y	0.629482071713147	0.471264367816092	0.0491071428571429	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	1901	2000	y	y	y	0.767123287671233	0.507936507936508	0.129032258064516	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	2001	2100	y	y	y	0.7625	0.48780487804878	0.0547945205479452	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	2101	2200	y	y	y	0.846153846153846	0.594285714285714	0.032258064516129	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	2201	2300	y	y	y	0.804597701149425	0.452702702702703	0.0267857142857143	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	2301	2400	y	y	y	0.584269662921348	0.432098765432099	0.0725806451612903	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	2401	2500	y	y	y	0.742424242424242	0.341463414634146	0.0235042735042735	CG_only	Intermediate	CG_only	other_mC
maize_chr1_reference	2501	2600	n	y	y	NA	0.7625	0.0192572214580468	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	2601	2700	y	y	y	0.816666666666667	0.630434782608696	0.0172143974960876	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	2701	2800	y	y	y	0.736842105263158	0.50253807106599	0.0571428571428571	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	2801	2900	y	y	y	0.703703703703704	0.238095238095238	0.0352564102564103	CG_only	Intermediate	CG_only	other_mC
maize_chr1_reference	2901	3000	n	y	y	NA	0.0119047619047619	0.010989010989011	Unmethylated	UMR	Unmethylated	UMR
maize_chr1_reference	3001	3100	y	y	y	0.0294117647058824	0.0178571428571429	0	Unmethylated	UMR	Unmethylated	UMR
maize_chr1_reference	3101	3200	y	y	y	0	0.02	0	Unmethylated	UMR	Unmethylated	UMR
maize_chr1_reference	3201	3300	y	y	y	0	0.0134228187919463	0	Unmethylated	UMR	Unmethylated	UMR
maize_chr1_reference	3301	3400	n	y	y	NA	0.393939393939394	0.0501567398119122	no_sites	Intermediate	no_sites	No_sites
maize_chr1_reference	3401	3500	y	n	y	0.8	NA	0.0654205607476635	CG_only	no_sites	CG_only	other_mC
maize_chr1_reference	3501	3600	y	y	y	0.75	0.802919708029197	0.0491803278688525	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	3601	3700	y	y	y	0.702702702702703	0.607843137254902	0.0340909090909091	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	3701	3800	y	y	y	0.825757575757576	0.4	0.0165745856353591	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	3801	3900	y	y	y	0.7890625	0.670103092783505	0.0343347639484979	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	3901	4000	y	y	y	0.465116279069767	0.409090909090909	0.0873015873015873	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	4001	4100	y	y	y	NA	0.735849056603774	0.0333333333333333	NA	MR	Missing_Data	no_data
maize_chr1_reference	4101	4200	y	y	y	0.787878787878788	0.611111111111111	0.0454545454545455	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	4201	4300	y	y	y	0.709844559585492	0.520547945205479	0.136363636363636	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	4301	4400	n	n	y	NA	NA	0.0436893203883495	no_sites	no_sites	no_sites	No_sites
maize_chr1_reference	4401	4500	n	y	y	NA	0.555555555555556	0.0316939890710383	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	4501	4600	y	y	y	0.724137931034483	0.663461538461538	0.0556621880998081	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	4601	4700	y	y	y	0.615384615384615	0.5	0.0443037974683544	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	4701	4800	n	y	y	NA	NA	NA	NA	Missing_Data	Missing_Data	no_data
maize_chr1_reference	4801	4900	n	y	y	NA	NA	NA	NA	Missing_Data	Missing_Data	no_data
maize_chr1_reference	4901	5000	y	y	y	0.9	0.7	0.0191387559808612	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	5001	5100	y	y	y	0.743589743589744	0.6875	0.00363636363636364	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	5101	5200	y	y	y	0.428571428571429	0.59375	0	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	5201	5300	y	y	y	0.8	0.73469387755102	0.0053475935828877	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	5301	5400	y	y	y	0.82051282051282	0.772727272727273	0.0264150943396226	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	5401	5500	y	y	y	0.647058823529412	0.44	0.0232558139534884	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	5501	5600	y	y	y	NA	NA	NA	NA	Missing_Data	Missing_Data	no_data
maize_chr1_reference	5601	5700	y	y	y	NA	NA	NA	NA	Missing_Data	Missing_Data	no_data
maize_chr1_reference	5701	5800	y	y	y	NA	NA	NA	NA	Missing_Data	Missing_Data	no_data
maize_chr1_reference	5801	5900	y	y	y	NA	NA	NA	NA	Missing_Data	Missing_Data	no_data
maize_chr1_reference	5901	6000	y	y	y	0.9	0.888888888888889	NA	NA	MR	Missing_Data	no_data
maize_chr1_reference	6001	6100	y	y	y	0.909090909090909	0.795454545454545	0.0315789473684211	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	6101	6200	y	y	y	0.76	0.723684210526316	0.0467836257309941	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	6201	6300	y	y	y	0.641025641025641	0.615384615384615	0.0357142857142857	Heterochromatin	MR	Heterochromatin	MR
maize_chr1_reference	6301	6400	n	y	y	NA	NA	NA	NA	Missing_Data	Missing_Data	no_data
maize_chr1_reference	6401	6500	y	y	y	NA	NA	NA	NA	Missing_Data	Missing_Data	no_data
maize_chr1_reference	6501	6600	n	y	y	NA	NA	NA	NA	Missing_Data	Missing_Data	no_data
